start_timestamp,class_weight,cat,weight_ema_4,anomaly,scores,seconds,sequence,total_seconds
2020-11-10 08:55:00,1.5,P,1.5,-1,-0.1565708210886225,81, News  Music Shopping Photos Entertainment Social Radio,81
2020-11-10 09:10:00,1.3333333333333333,P,1.4966996699669968,-1,-0.1477064929781143,12,Social News  Music Photos Travel Entertainment Radio,93
2020-11-10 09:25:00,1.1666666666666667,P,1.4901643629709505,-1,-0.1468742974872728,0,News Social Shopping Photos Entertainment Music Radio,93
2020-11-10 09:40:00,4.5,G,1.549765068654694,-1,-0.1535060554937913,150,Calendar Email Portal Writing Spreadsheet Music Portal Learning ,243
2020-11-10 09:55:00,1.5,P,1.5487796217506409,-1,-0.1565708210886225,71, News  Music Shopping Photos Entertainment Social Radio,314
2020-11-10 10:10:00,3.5,G,1.5874176490427072,-1,-0.1646389528065148,15,Email Calendar Writing Learning Spreadsheet Portal Presentation,329
2020-11-10 10:25:00,1.1666666666666667,P,1.579085946421399,-1,-0.1463942600228991,8,News Social Shopping Photos Music Video Entertainment,337
2020-11-10 10:40:00,1.6666666666666667,N,1.5808202181094244,-1,-0.1559548595514596,32,Utilities Operations Message Business ,369
2020-11-10 10:55:00,1.1666666666666667,P,1.5726191576848152,-1,-0.1463942600228991,130,News Social Shopping Photos Music Video Entertainment,499
2020-11-10 11:10:00,1.5,P,1.5711811545623435,-1,-0.1565708210886225,9, News  Music Shopping Photos Entertainment Social Radio,508
2020-11-10 11:25:00,3.5,G,1.6093755871452675,-1,-0.1646389528065148,49,Email Calendar Writing Learning Spreadsheet Portal Presentation,557
2020-11-10 11:40:00,4.5,G,1.6666156745285297,-1,-0.1554474286530318,87,Calendar Email Portal Writing Spreadsheet Music Portal Learning ,644
2020-11-10 11:55:00,4.0,G,1.7128213047358856,-1,-0.138041242738836,141, Project Writing Learning Portal Meeting Calendar Email,785
2020-11-10 12:10:00,4.0,G,1.7581119719688385,-1,-0.138041242738836,124, Project Writing Learning Portal Meeting Calendar Email,909
2020-11-10 12:25:00,4.0,G,1.8025057943060887,-1,-0.1327465329735198,105, Project Writing Learning Portal Meeting Calendar Email,1014
